id,input,label,num_variables,template,expected_answer
gpqa_A revolving door is convenient,"Premise: A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?
Hypothesis: bank",True,2,unknown,None
gpqa_What do people aim to do at wo,"Premise: What do people aim to do at work?
Hypothesis: complete job",True,2,unknown,None
gpqa_Where would you find magazines,"Premise: Where would you find magazines along side many other printed works?
Hypothesis: bookstore",True,2,unknown,None
gpqa_Where are  you likely to find ,"Premise: Where are  you likely to find a hamburger?
Hypothesis: fast food restaurant",True,2,unknown,None
gpqa_James was looking for a good p,"Premise: James was looking for a good place to buy farmland.  Where might he look?
Hypothesis: estate",False,2,unknown,None
gpqa_What island country is ferret ,"Premise: What island country is ferret popular?
Hypothesis: great britain",True,2,unknown,None
gpqa_In what Spanish speaking North,"Premise: In what Spanish speaking North American country can you get a great cup of coffee?
Hypothesis: mexico",True,2,unknown,None
gpqa_What do animals do when an ene,"Premise: What do animals do when an enemy is approaching?
Hypothesis: listen to each other",True,2,unknown,None
gpqa_Reading newspaper one of many ,"Premise: Reading newspaper one of many ways to practice your what?
Hypothesis: literacy",True,2,unknown,None
gpqa_What do people typically do wh,"Premise: What do people typically do while playing guitar?
Hypothesis: making music",False,2,unknown,None
gpqa_What would vinyl be an odd thi,"Premise: What would vinyl be an odd thing to replace?
Hypothesis: cheese",False,2,unknown,None
"gpqa_If you want harmony, what is s","Premise: If you want harmony, what is something you should try to do with the world?
Hypothesis: make peace",True,2,unknown,None
gpqa_Where does a heifer's master l,"Premise: Where does a heifer's master live?
Hypothesis: farm house",True,2,unknown,None
gpqa_Aside from water and nourishme,"Premise: Aside from water and nourishment what does your dog need?
Hypothesis: lots of attention",True,2,unknown,None
gpqa_Janet was watching the film be,"Premise: Janet was watching the film because she liked what?
Hypothesis: being entertained",True,2,unknown,None
gpqa_What are you waiting alongside,"Premise: What are you waiting alongside with when you're in a reception area?
Hypothesis: people",True,2,unknown,None
gpqa_When drinking booze what can y,"Premise: When drinking booze what can you do to stay busy?
Hypothesis: examine thing",True,2,unknown,None
gpqa_A fencing thrust with a sharp ,"Premise: A fencing thrust with a sharp sword towards a person would result in what?
Hypothesis: puncture wound",True,2,unknown,None
gpqa_Unlike a spider and his many s,"Premise: Unlike a spider and his many sight seers, people only have what?
Hypothesis: two eyes",True,2,unknown,None
gpqa_Where do adults use glue stick,"Premise: Where do adults use glue sticks?
Hypothesis: office",True,2,unknown,None
gpqa_What could go on top of wood?,"Premise: What could go on top of wood?
Hypothesis: carpet",True,2,unknown,None
gpqa_The artist was sitting quietly,"Premise: The artist was sitting quietly pondering, then suddenly he began to paint when what struck him?
Hypothesis: inspiration",True,2,unknown,None
gpqa_Though the thin film seemed fr,"Premise: Though the thin film seemed fragile, for it's intended purpose it was actually nearly what?
Hypothesis: indestructible",True,2,unknown,None
gpqa_Where could you find a toilet ,"Premise: Where could you find a toilet that only friends can use?
Hypothesis: apartment",True,2,unknown,None
gpqa_What is someone who isn't clev,"Premise: What is someone who isn't clever, bright, or competent called?
Hypothesis: stupid",True,2,unknown,None
gpqa_When wildlife reproduce we oft,"Premise: When wildlife reproduce we often refer to what comes out as what?
Hypothesis: offspring",True,2,unknown,None
gpqa_The weasel was becoming a prob,"Premise: The weasel was becoming a problem, it kept getting into the chicken eggs kept in the what?
Hypothesis: barn",True,2,unknown,None
gpqa_Blue read material outside of ,"Premise: Blue read material outside of his comfort zone because he wanted to gain what?
Hypothesis: new perspective",True,2,unknown,None
gpqa_After he got hired he hoped fo,"Premise: After he got hired he hoped for success at his what?
Hypothesis: new job",True,2,unknown,None
gpqa_Committing perjury is a seriou,"Premise: Committing perjury is a serious what?
Hypothesis: crime",True,2,unknown,None
gpqa_If you are prone to postpone w,"Premise: If you are prone to postpone work what will you have to do in order to finish on time?
Hypothesis: hasten",True,2,unknown,None
gpqa_James wanted to find an old un,"Premise: James wanted to find an old underground map from the 50s.  Where might he look for one?
Hypothesis: library",True,2,unknown,None
gpqa_Sean was in a rush to get home,"Premise: Sean was in a rush to get home, but the light turned yellow and he was forced to do what?
Hypothesis: slow down",True,2,unknown,None
gpqa_Where would a person be doing ,"Premise: Where would a person be doing when having to wait their turn?
Hypothesis: stand in line",True,2,unknown,None
gpqa_She was always helping at the ,"Premise: She was always helping at the senior center, it brought her what?
Hypothesis: happiness",True,2,unknown,None
gpqa_The lock kept the steering whe,"Premise: The lock kept the steering wheel from moving, but the thief still took his chances and began to work on the what?
Hypothesis: ignition switch",True,2,unknown,None
gpqa_Who is a police officer likely,"Premise: Who is a police officer likely to work for?
Hypothesis: city",True,2,unknown,None
"gpqa_If you have leftover cake, whe","Premise: If you have leftover cake, where would you put it?
Hypothesis: refrigerator",True,2,unknown,None
gpqa_A human wants to submerge hims,"Premise: A human wants to submerge himself in water, what should he use?
Hypothesis: whirlpool bath",True,2,unknown,None
gpqa_Where is a doormat likely to b,"Premise: Where is a doormat likely to be in front of?
Hypothesis: front door",True,2,unknown,None
gpqa_Bob the lizard lives in a warm,"Premise: Bob the lizard lives in a warm place with lots of water.  Where does he probably live?
Hypothesis: tropical rainforest",True,2,unknown,None
gpqa_August needed  money because h,"Premise: August needed  money because he was afraid that he'd be kicked out of his house.  What did he need money to do?
Hypothesis: control people",True,2,unknown,None
gpqa_He needed more information to ,"Premise: He needed more information to fix it, so he consulted the what?
Hypothesis: manual",True,2,unknown,None
gpqa_Where can you put a picture fr,"Premise: Where can you put a picture frame when it's not hung vertically?
Hypothesis: table",True,2,unknown,None
gpqa_James knew that he shouldn't h,"Premise: James knew that he shouldn't have been buying beer for minors.  He didn't even get paid for it.  Why was this bad?
Hypothesis: broken law",True,2,unknown,None
gpqa_What is the result of applying,"Premise: What is the result of applying for  job?
Hypothesis: being employed",True,2,unknown,None
gpqa_What must someone do before th,"Premise: What must someone do before they shop?
Hypothesis: get money",True,2,unknown,None
